"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Self-learning system for personalized e-learning","V. Pant; S. Bhasin; S. Jain","Dept. of Computer Science & Engineering, Graphic Era University, Dehradun, India; Dept. of Computer Science & Engineering, Graphic Era University, Dehradun, India; Dept. of Computer Science & Engineering, Graphic Era University, Dehradun, India",2017 International Conference on Emerging Trends in Computing and Communication Technologies (ICETCCT),"5 Feb 2018","2017","","","1","6","Knowledge is a basic requirement in the era of globalization. The act of acquiring knowledge is learning and with the advent of technology, learning has become easier. E-Learning is a popular learning method which uses the web or other technologies to promote learning. A very traditional learning method is discussed and some new methods with the integration of modern technology have been discussed. Although technologies like artificial intelligence, cloud computing, ontology, fuzzy logic etc. have been used in learning systems they are still less automated, not personalized and do not pose the capability to self-learn. A method is proposed to increase the automation and self-learning in the e-learning management systems. Further, the personalization of learning for the user so that every type of learner can learn from the type and level of the content the learner seems fit is the main aim. The proposed system is feasible, economical and scalable which makes it suitable for every level.","","978-1-5386-1147-0","10.1109/ICETCCT.2017.8280344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8280344","Machine learning;e-learning system;reinforcement learning;learning management system","Learning management systems;Electronic learning;Videos;Crawlers;Semantics;Task analysis","","4","","12","IEEE","5 Feb 2018","","","IEEE","IEEE Conferences"
"Education 4.0 - Artificial Intelligence Assisted Higher Education: Early recognition System with Machine Learning to support Students' Success","M. Ciolacu; A. F. Tehrani; L. Binder; P. M. Svasta","UPB CETTI, University Politehnica of Bucharest, Bucharest, Romania; Faculty of Business Informatics, Deggendorf Institute of Technology, Deggendorf, Germany; Faculty of Business Informatics, Deggendorf Institute of Technology, Deggendorf, Germany; UPB CETTI, University Politehnica of Bucharest, Bucharest, Romania",2018 IEEE 24th International Symposium for Design and Technology in Electronic Packaging​ (SIITME),"3 Jan 2019","2018","","","23","30","Education 4.0 is being empowered more and more by artificial intelligence (AI) methods. We observe a continuously growing demand for adaptive and personalized Education. In this paper we present an innovative approach to promoting AI in Education 4.0. Our first contribution is AI assisted Higher Education Process with smart sensors and wearable devices for self-regulated learning. Secondly we describe our first results of Education 4.0 didactic methods implemented with learning analytics and machine learning algorithms. The aim of this case study is to predict the final score of students before participating in final examination. We propose an Early Recognition System equipped with real data captured in a blended learning course with a personalized test at the beginning of the semester, an adaptive learning environment based on Auto Tutor by N. A. Crowder theory with adaptive self-assessment feedback. It is obvious that focusing on students' success and their experiences is a win-win scenario for students and professors as well as for the administration.","","978-1-5386-5577-1","10.1109/SIITME.2018.8599203","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599203","Education 4.0;Artificial Intelligence;Early Recognition System;Machine Learning;Self-regulated Learning;Wearable devices;Educational Datamining","Education;Solid modeling;Intelligent sensors;Learning (artificial intelligence);Biomedical monitoring;Machine learning","","94","","34","IEEE","3 Jan 2019","","","IEEE","IEEE Conferences"
"A Micro-Grid Distributed Intelligent Control and Management System","W. Kohn; Z. B. Zabinsky; A. Nerode","Atigeo LLC, Bellevue, WA, USA; Atigeo LLC, Bellevue, WA, USA; Cornell University, Ithaca, NY, USA",IEEE Transactions on Smart Grid,"20 May 2017","2015","6","6","2964","2974","Micro-grids require active control to maintain quality of service and to interface with the power grid in a bi-directional manner. Further, micro-grids must be justified by environmental, governmental, and economic viability. We present a programmable architecture for active, optimal distributed control of elements of the grid to achieve desired behavior. A unique aspect of this architecture is to include a distributed inductive engine for learning the local dynamics of generators and loads in the micro-grid. It generates feedback laws that are adapted to the current status of the micro-grid, and responds to anomalous events in a resilient manner. An important novelty is that control laws are extracted online for bidirectional discontinuous nonlinear loads by mean field methods from physics outside the standard design methodologies for piecewise linear quadratic controls.","1949-3061","","10.1109/TSG.2015.2455512","Atigeo, LLC; National Science Foundation(grant numbers:CMMI-0908317); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7181704","Bidirectional power flow;computational and artificial intelligence;decentralized control;distributed parameter systems;learning systems;micro-grids;power engineering and energy;power system control;power system management;smart grids;Bidirectional power flow;computational and artificial intelligence;decentralized control;distributed parameter systems;learning systems;micro-grids;power engineering and energy;power system control;power system management;smart grids","Intelligent control;Learning systems;Decentralized control;Power system management;Load modeling;Power system control;Microgrids","","35","12","35","IEEE","6 Aug 2015","","","IEEE","IEEE Journals"
"The development of an online SQL learning system with automatic checking mechanism","M. -H. Ying; Y. Hong","Department of Information Management, Chung Hua University, Hsinchu, Taiwan; Department of Information Management, Chung Hua University, Hsinchu, Taiwan",The 7th International Conference on Networked Computing and Advanced Information Management,"28 Jul 2011","2011","","","346","351","E-Learning has become an important topic in the field of information Technology. At present the online programming learning system can only provide feedback information about the answers is correct or wrong. When learner input a worng answer, those platform systems can not provide learning suggestion for learner, learner can only through trial and error approach to find the correct answer by oneself, and reducing the learning effectiveness. In this research, we developed the e-learning system that has detailed feedback whether the program of practice were correct or wrong. It developed a structured query language (SQL) e-learning system by intelligent agents and question answering, moreover, this system will take down the learning log for find out learners' problem to teachers.","","978-89-88678-37-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5967573","e-Learning;SQL;Intelligent Agent;Question Answering;Feedback","Syntactics;Databases;Electronic learning;Algebra;Materials;Transforms","","","","14","","28 Jul 2011","","","IEEE","IEEE Conferences"
"Cybernetic education centre","J. Ligušová; J. Liguš; I. Zolotová","Department of Cybernetics and Artificial Intelligence, Technical University of Košice, Kosice, Slovakia; Department of Cybernetics and Artificial Intelligence, Technical University of Košice, Kosice, Slovakia; Department of Cybernetics and Artificial Intelligence, Technical University of Košice, Kosice, Slovakia",2013 24th EAEEIE Annual Conference (EAEEIE 2013),"8 Aug 2013","2013","","","133","138","Cybernetic education centre (CEDUC) integrates (1) the e-learning system Moodle, which primary provides the linear delivery of knowledge content managed by teacher as well as collaborative e-learning modules, (2) distributed real, virtual, simulation models as a support for e-learning to give student interactive feedback within the learning process and (3) the Assessment module realized in the in the Learning Management System (LMS) Moodle. The e-learning in Department of Cybernetics and Artificial Intelligence is not full online learning system, but all subjects are implemented as blended learning combining classical face-to-face learning with e-learning. This paper deals with remote access to controlled models in the laboratories of our department, (a) real laboratory models, (b) simulation models and (c) virtual models, whose implement many technologies from world leaders in area of automation and can not be implemented natively as Moodle modules. Remote student access to control process of these models is conditional, depending on their assessment results. The paper presents methodology of design of blended learning using remote control of models, in are of Cybernetic and Automation, implemented in CEDUC.","","978-1-4799-0044-2","10.1109/EAEEIE.2013.6576516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6576516","cybernetics;e-learning;blended learning;Moodle;virtual models;CEDUC;distributed control system","Electronic learning;Least squares approximations;Cybernetics;Process control;Servers;Control systems","","3","","14","IEEE","8 Aug 2013","","","IEEE","IEEE Conferences"
"Artificial Swarms find Social Optima : (Late Breaking Report)","L. Rosenberg; G. Willcox","Unanimous AI, San Francisco, CA, USA; Unanimous AI, San Francisco, CA, USA",2018 IEEE Conference on Cognitive and Computational Aspects of Situation Management (CogSIMA),"2 Aug 2018","2018","","","174","178","In the natural world, many social species amplify their collective intelligence by forming real-time closed-loop systems. Referred to as Swarm Intelligence (SI), this phenomenon has been rigorously studied in schools of fish, flocks of birds, and swarms of bees. In recent years, technology has enabled human groups to form real-time closed-loop systems modeled after natural swarms and moderated by AI algorithms. Referred to as Artificial Swarm Intelligence (ASI), these methods have been shown to enable human groups to reach optimized decisions. The present research explores this further, testing if ASI enables groups with conflicting views to converge on socially optimal solutions. Results showed that “swarming” was significantly more effective at enabling groups to converge on the Social Optima than three common voting methods: (i) Plurality voting (i) Borda Count and (iii) Condorcet pairwise voting. While traditional voting methods converged on socially optimal solutions with 60% success across a test set of 100 questions, the ASI system converged on socially optimal solutions with 82% success (p<;0.001).","2379-1675","978-1-5386-5288-6","10.1109/COGSIMA.2018.8423987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8423987","Swarm Intelligence;Artificial Swarm Intelligence;Collective Intelligence;Human Swarms;Artificial Intelligence","Sociology;Statistics;Real-time systems;Task analysis;Artificial intelligence;Particle swarm optimization;Brain modeling","","13","","17","IEEE","2 Aug 2018","","","IEEE","IEEE Conferences"
"Derivation of integrated state equation for combined outputs-inputs vector of discrete-time linear time-invariant system and its application to reinforcement learning","T. Sasaki; E. Uchibe; H. Iwane; H. Yanami; H. Anai; K. Doya","Artificial Intelligence Platform Project, Fujitsu Laboratories Ltd, Kanagawa, Japan; Neural Computation Unit, Okinawa Institute of Science and Technology Graduate University, Okinawa, Japan; Artificial Intelligence Platform Project, Fujitsu Laboratories Ltd, Kanagawa, Japan; Artificial Intelligence Platform Project, Fujitsu Laboratories Ltd, Kanagawa, Japan; Institute of Mathematics for Industry, Kyushu University, Fukuoka, Japan; Neural Computation Unit, Okinawa Institute of Science and Technology Graduate University, Okinawa, Japan",2017 56th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE),"13 Nov 2017","2017","","","648","652","For a discrete-time linear time-invariant partially observable system that satisfies the well-known algebraic condition of observability, we derive a fully observable system equation using an augmented state vector combining output and input sequences. The derived representation enables application of reinforcement learning methods for fully observable linear quadratic regulation problems to partially observable ones avoiding the problems invoked in existing methods.","","978-4-907764-57-9","10.23919/SICE.2017.8105538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8105538","reinforcement learning;adaptive control;partially observable system;output feedback control;linear quadratic regulation problem","Learning (artificial intelligence);Feedback control;Observability;Optimal control;Electronic mail;System dynamics","","","","14","","13 Nov 2017","","","IEEE","IEEE Conferences"
"Emerging information technology and contemporary challenging R & D problems in the area of learning: An artificial intelligence approach","D. K. Saini; L. S. Prakash; M. Goyal","Faculty of Computing and Information Technology, Sohar University, Sohar, Oman, Oman; Faculty of Computing and Information Technology, Sohar University, Sohar, Oman, Oman; Jaypee Institute of Information Technology, Noida, India",2012 IEEE International Conference on Engineering Education: Innovative Practices and Future Trends (AICERA),"20 Sep 2012","2012","","","1","6","Access to information and electronic resources is a main hurdle faced by e-learners. In addition, it is difficult to find learning materials that best suit student's needs while tutors need to find an automatic way for receiving feedback from students. Therefore, the development of efficient new procedures to better guide students for selecting suitable learning materials is becoming a challenging factor in the e-Learning environment.","","978-1-4673-2269-0","10.1109/AICERA.2012.6306748","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6306748","Emerging Information Technology;Learning;Learning styles;Content Management and Cognitive Learning;Adaptation;Personalization","Abstracts;Adaptation models;Humans","","2","","20","IEEE","20 Sep 2012","","","IEEE","IEEE Conferences"
"An intelligent classroom management system based on wireless sensor networks","C. -K. Chiou; J. C. R. Tseng","Institute of Education, Jiangsu Normal University, Xuzhou, Jiangsu, China; Department of Computer Science and Information Engineering, Chung Hua University, Hsinchu, Taiwan, ROC",2015 8th International Conference on Ubi-Media Computing (UMEDIA),"15 Oct 2015","2015","","","44","48","The learning efficiency in a traditional classroom is easily influenced by three factors: the learning environment, the instruction mode and the conditions of students. For improving the learning efficiency, an intelligent classroom management system with context-awareness based on the wireless sensor network technology is proposed and implemented in this research. The statuses of students and the classroom are detected by wireless sensors, and these statuses will be transferred to the management system built in a server. The management system will determine the current conditions of the students and the classroom, and give proper feedbacks to the students, the teachers, and the wireless sensor-controlled equipment deployed in the classroom. The proposed intelligent classroom management system includes three subsystems. 1) The environment management system regulates the classroom to a suitable condition for teaching and learning; 2) The instruction mode management system assists teachers to switch instruction modes quickly and smoothly to avoid wasting of time; 3) The learning behavior management system alerts students when they are inattention or fatigued. The proposed system is implemented in a classroom of Chung Hua University, Taiwan. A preliminary evaluation is also conducted to verify the correctness of the system.","","978-1-4673-8270-0","10.1109/UMEDIA.2015.7297426","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7297426","sensor technology;wireless sensor networks;classroom management;intelligent system","Artificial intelligence;Wireless sensor networks;Temperature sensors;Education;Context;Intelligent sensors","","12","","15","IEEE","15 Oct 2015","","","IEEE","IEEE Conferences"
"Design and evaluation of learning algorithms for dynamic resource management in virtual networks","R. Mijumbi; J. -L. Gorricho; J. Serrat; M. Claeys; F. De Turck; S. Latré","Universitat Politecnica de Catalunya, Barcelona, Spain; Universitat Politecnica de Catalunya, Barcelona, Spain; Universitat Politecnica de Catalunya, Barcelona, Spain; Universitat Politecnica de Catalunya, Barcelona, Spain; Universitat Politecnica de Catalunya, Barcelona, Spain; Universitat Politecnica de Catalunya, Barcelona, Spain",2014 IEEE Network Operations and Management Symposium (NOMS),"19 Jun 2014","2014","","","1","9","Network virtualisation is considerably gaining attention as a solution to ossification of the Internet. However, the success of network virtualisation will depend in part on how efficiently the virtual networks utilise substrate network resources. In this paper, we propose a machine learning-based approach to virtual network resource management. We propose to model the substrate network as a decentralised system and introduce a learning algorithm in each substrate node and substrate link, providing self-organization capabilities. We propose a multiagent learning algorithm that carries out the substrate network resource management in a coordinated and decentralised way. The task of these agents is to use evaluative feedback to learn an optimal policy so as to dynamically allocate network resources to virtual nodes and links. The agents ensure that while the virtual networks have the resources they need at any given time, only the required resources are reserved for this purpose. Simulations show that our dynamic approach significantly improves the virtual network acceptance ratio and the maximum number of accepted virtual network requests at any time while ensuring that virtual network quality of service requirements such as packet drop rate and virtual link delay are not affected.","2374-9709","978-1-4799-0913-1","10.1109/NOMS.2014.6838258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6838258","Network virtualization;Dynamic Resource Allocation;Virtual Network Embedding;Artificial Intelligence;Machine Learning;Reinforcement Learning;Multiagent Systems","Substrates;Resource management;Dynamic scheduling;Delays;Learning (artificial intelligence);Bandwidth;Heuristic algorithms","","74","","27","IEEE","19 Jun 2014","","","IEEE","IEEE Conferences"
