document title,abstract,author affiliations,authors,doi,isbns,issn,publication title,publication year,relevant_llama3,relevant_gemma3,relevant_phi4,relevant,abstract_pp,exclude
Education 4.0 - Artificial Intelligence Assisted Higher Education: Early recognition System with Machine Learning to support Students' Success,"Education 4.0 is being empowered more and more by artificial intelligence (AI) methods. We observe a continuously growing demand for adaptive and personalized Education. In this paper we present an innovative approach to promoting AI in Education 4.0. Our first contribution is AI assisted Higher Education Process with smart sensors and wearable devices for self-regulated learning. Secondly we describe our first results of Education 4.0 didactic methods implemented with learning analytics and machine learning algorithms. The aim of this case study is to predict the final score of students before participating in final examination. We propose an Early Recognition System equipped with real data captured in a blended learning course with a personalized test at the beginning of the semester, an adaptive learning environment based on Auto Tutor by N. A. Crowder theory with adaptive self-assessment feedback. It is obvious that focusing on students' success and their experiences is a win-win scenario for students and professors as well as for the administration.","UPB CETTI, University Politehnica of Bucharest, Bucharest, Romania; Faculty of Business Informatics, Deggendorf Institute of Technology, Deggendorf, Germany; Faculty of Business Informatics, Deggendorf Institute of Technology, Deggendorf, Germany; UPB CETTI, University Politehnica of Bucharest, Bucharest, Romania",M. Ciolacu; A. F. Tehrani; L. Binder; P. M. Svasta,10.1109/SIITME.2018.8599203,978-1-5386-5577-1,,2018 IEEE 24th International Symposium for Design and Technology in Electronic Packaging​ (SIITME),2018,True,True,True,True,"Education 4.0 is being empowered more and more by artificial intelligence (AI) methods. We observe a continuously growing demand for adaptive and personalized Education. In this paper we present an innovative approach to promoting AI in Education 4.0. Our first contribution is AI assisted Higher Education Process with smart sensors and wearable devices for self-regulated learning. Secondly we describe our first results of Education 4.0 didactic methods implemented with learning analytics and machine learning algorithms. The aim of this case study is to predict the final score of students before participating in final examination. We propose an Early Recognition System equipped with real data captured in a blended learning course with a personalized test at the beginning of the semester, an adaptive learning environment based on Auto Tutor by N. A. Crowder theory with adaptive self-assessment feedback. It is obvious that focusing on students' success and their experiences is a win-win scenario for students and professors as well as for the administration.",False
A Micro-Grid Distributed Intelligent Control and Management System,"Micro-grids require active control to maintain quality of service and to interface with the power grid in a bi-directional manner. Further, micro-grids must be justified by environmental, governmental, and economic viability. We present a programmable architecture for active, optimal distributed control of elements of the grid to achieve desired behavior. A unique aspect of this architecture is to include a distributed inductive engine for learning the local dynamics of generators and loads in the micro-grid. It generates feedback laws that are adapted to the current status of the micro-grid, and responds to anomalous events in a resilient manner. An important novelty is that control laws are extracted online for bidirectional discontinuous nonlinear loads by mean field methods from physics outside the standard design methodologies for piecewise linear quadratic controls.","Atigeo LLC, Bellevue, WA, USA; Atigeo LLC, Bellevue, WA, USA; Cornell University, Ithaca, NY, USA",W. Kohn; Z. B. Zabinsky; A. Nerode,10.1109/TSG.2015.2455512,,1949-3061,IEEE Transactions on Smart Grid,2015,True,True,False,True,"Micro-grids require active control to maintain quality of service and to interface with the power grid in a bi-directional manner. Further, micro-grids must be justified by environmental, governmental, and economic viability. We present a programmable architecture for active, optimal distributed control of elements of the grid to achieve desired behavior. A unique aspect of this architecture is to include a distributed inductive engine for learning the local dynamics of generators and loads in the micro-grid. It generates feedback laws that are adapted to the current status of the micro-grid, and responds to anomalous events in a resilient manner. An important novelty is that control laws are extracted online for bidirectional discontinuous nonlinear loads by mean field methods from physics outside the standard design methodologies for piecewise linear quadratic controls.",False
Derivation of integrated state equation for combined outputs-inputs vector of discrete-time linear time-invariant system and its application to reinforcement learning,"For a discrete-time linear time-invariant partially observable system that satisfies the well-known algebraic condition of observability, we derive a fully observable system equation using an augmented state vector combining output and input sequences. The derived representation enables application of reinforcement learning methods for fully observable linear quadratic regulation problems to partially observable ones avoiding the problems invoked in existing methods.","Artificial Intelligence Platform Project, Fujitsu Laboratories Ltd, Kanagawa, Japan; Neural Computation Unit, Okinawa Institute of Science and Technology Graduate University, Okinawa, Japan; Artificial Intelligence Platform Project, Fujitsu Laboratories Ltd, Kanagawa, Japan; Artificial Intelligence Platform Project, Fujitsu Laboratories Ltd, Kanagawa, Japan; Institute of Mathematics for Industry, Kyushu University, Fukuoka, Japan; Neural Computation Unit, Okinawa Institute of Science and Technology Graduate University, Okinawa, Japan",T. Sasaki; E. Uchibe; H. Iwane; H. Yanami; H. Anai; K. Doya,10.23919/SICE.2017.8105538,978-4-907764-57-9,,2017 56th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE),2017,False,True,True,True,"For a discrete-time linear time-invariant partially observable system that satisfies the well-known algebraic condition of observability, we derive a fully observable system equation using an augmented state vector combining output and input sequences. The derived representation enables application of reinforcement learning methods for fully observable linear quadratic regulation problems to partially observable ones avoiding the problems invoked in existing methods.",False
An intelligent classroom management system based on wireless sensor networks,"The learning efficiency in a traditional classroom is easily influenced by three factors: the learning environment, the instruction mode and the conditions of students. For improving the learning efficiency, an intelligent classroom management system with context-awareness based on the wireless sensor network technology is proposed and implemented in this research. The statuses of students and the classroom are detected by wireless sensors, and these statuses will be transferred to the management system built in a server. The management system will determine the current conditions of the students and the classroom, and give proper feedbacks to the students, the teachers, and the wireless sensor-controlled equipment deployed in the classroom. The proposed intelligent classroom management system includes three subsystems. 1) The environment management system regulates the classroom to a suitable condition for teaching and learning; 2) The instruction mode management system assists teachers to switch instruction modes quickly and smoothly to avoid wasting of time; 3) The learning behavior management system alerts students when they are inattention or fatigued. The proposed system is implemented in a classroom of Chung Hua University, Taiwan. A preliminary evaluation is also conducted to verify the correctness of the system.","Institute of Education, Jiangsu Normal University, Xuzhou, Jiangsu, China; Department of Computer Science and Information Engineering, Chung Hua University, Hsinchu, Taiwan, ROC",C. -K. Chiou; J. C. R. Tseng,10.1109/UMEDIA.2015.7297426,978-1-4673-8270-0,,2015 8th International Conference on Ubi-Media Computing (UMEDIA),2015,True,True,False,True,"The learning efficiency in a traditional classroom is easily influenced by three factors: the learning environment, the instruction mode and the conditions of students. For improving the learning efficiency, an intelligent classroom management system with context-awareness based on the wireless sensor network technology is proposed and implemented in this research. The statuses of students and the classroom are detected by wireless sensors, and these statuses will be transferred to the management system built in a server. The management system will determine the current conditions of the students and the classroom, and give proper feedbacks to the students, the teachers, and the wireless sensor-controlled equipment deployed in the classroom. The proposed intelligent classroom management system includes three subsystems. 1) The environment management system regulates the classroom to a suitable condition for teaching and learning; 2) The instruction mode management system assists teachers to switch instruction modes quickly and smoothly to avoid wasting of time; 3) The learning behavior management system alerts students when they are inattention or fatigued. The proposed system is implemented in a classroom of Chung Hua University, Taiwan. A preliminary evaluation is also conducted to verify the correctness of the system.",False
Learning PLC's with GE3D: The students' feedbacks,"E-learning combines the use of new multimedia technologies and the Internet in order to improve the quality of learning by facilitating access to resources and sources, exchanges and remote collaboration. Today LMS (Learning Management Systems) are quite ubiquitous and choosing one is difficult. These LMS often share the same features: lacking in ergonomics or being only used as documents repositories. As a consequence, learners and teachers underuse those tools, much worse, students might give up. Following a socio-constructivist approach of learning and the expectations of the students and teachers, we realized a 3D virtual campus (GE3D). The latter allows lectures, e-assessments and exercises, with synchronous connections for users. The instant reactivity of this 3D site allows immediate appropriation by the students and teachers, and so, builds a users' community. The connected people can support the other ones and share their knowledge. The ITS (Intelligent Tutoring System), built with artificial intelligence principles, will supply additional help to learners and teachers. The client-server architecture of GE3D is standard, cost-effective and adapted to the needs and equipment of developing countries. This article describes the use of GE3D in a common scenario for a course on PLC's (Programmable Logical Controllers). Then, we analyze feedbacks given by the students after using the virtual campus GE3D.","LITIS (Laboratoire dInformatique, de Traitement de lInformation et des Systèmes), University of Le Havre, Le Havre, France; LITIS (Laboratoire dInformatique, de Traitement de lInformation et des Systèmes), University of Le Havre, Le Havre, France; LITIS (Laboratoire dInformatique, de Traitement de lInformation et des Systèmes), University of Le Havre, Le Havre, France; LITIS (Laboratoire dInformatique, de Traitement de lInformation et des Systèmes), University of Le Havre, Le Havre, France; LITIS (Laboratoire dInformatique, de Traitement de lInformation et des Systèmes), University of Le Havre, Le Havre, France",F. Lecroq; J. Grieu; H. Boukachour; P. Person; T. Galinho,10.1109/EDUCON.2011.5773155,978-1-61284-643-9,2165-9567,2011 IEEE Global Engineering Education Conference (EDUCON),2011,True,True,False,True,"E-learning combines the use of new multimedia technologies and the Internet in order to improve the quality of learning by facilitating access to resources and sources, exchanges and remote collaboration. Today LMS (Learning Management Systems) are quite ubiquitous and choosing one is difficult. These LMS often share the same features: lacking in ergonomics or being only used as documents repositories. As a consequence, learners and teachers underuse those tools, much worse, students might give up. Following a socio-constructivist approach of learning and the expectations of the students and teachers, we realized a 3D virtual campus (GE3D). The latter allows lectures, e-assessments and exercises, with synchronous connections for users. The instant reactivity of this 3D site allows immediate appropriation by the students and teachers, and so, builds a users' community. The connected people can support the other ones and share their knowledge. The ITS (Intelligent Tutoring System), built with artificial intelligence principles, will supply additional help to learners and teachers. The client-server architecture of GE3D is standard, cost-effective and adapted to the needs and equipment of developing countries. This article describes the use of GE3D in a common scenario for a course on PLC's (Programmable Logical Controllers). Then, we analyze feedbacks given by the students after using the virtual campus GE3D.",False
Youth Olympic Village Co-space,"We have designed and implemented a 3D virtual world based on the Co-Space concept encompasses the Youth Olympic Village (YOV) and several sports competition venues. It is a massively multiplayer online (MMO) virtual world built according to the actual, physical locations of the YOV and sports competition venues. On top of that, the Co-Space is being populated with human-like avatars, which are created according to the actual human size and appearance, they perform their activities and interact with the users in real-world context. In addition, autonomous intelligent agents are integrated into the Co-Space to provide context-aware and personalized services to the users. These agents, which are in the form of human-like avatars, act as the users' personal tour guides, they interact with the users and gradually learn the users' preferences. Then, the agents are able to suggest suitable locations for the users to visit. The intention of deploying these agents is to enrich the Co-Space with a variety of interactions tailored to each user's preferences instead of the same contents for everyone. Besides, our Co-Space also provides an avenue for people from different locations throughout the world to explore the YOV and experience the atmosphere of the sports events in Singapore.","School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore",Z. -Y. Chua; Y. Kang; X. Jiang; K. -H. Pang; A. C. Gregory; C. -Y. Tan; W. -L. Wong; A. -H. Tan; Y. -S. Ong; C. -Y. Miao,10.1109/CW.2010.67,978-1-4244-8301-3,,2010 International Conference on Cyberworlds,2010,True,True,False,True,"We have designed and implemented a 3D virtual world based on the Co-Space concept encompasses the Youth Olympic Village (YOV) and several sports competition venues. It is a massively multiplayer online (MMO) virtual world built according to the actual, physical locations of the YOV and sports competition venues. On top of that, the Co-Space is being populated with human-like avatars, which are created according to the actual human size and appearance, they perform their activities and interact with the users in real-world context. In addition, autonomous intelligent agents are integrated into the Co-Space to provide context-aware and personalized services to the users. These agents, which are in the form of human-like avatars, act as the users' personal tour guides, they interact with the users and gradually learn the users' preferences. Then, the agents are able to suggest suitable locations for the users to visit. The intention of deploying these agents is to enrich the Co-Space with a variety of interactions tailored to each user's preferences instead of the same contents for everyone. Besides, our Co-Space also provides an avenue for people from different locations throughout the world to explore the YOV and experience the atmosphere of the sports events in Singapore.",False
Using Moodle — An open source leaning management system in Australian Mining Engineering Education,"Learning Management Systems (LMS) including Moodle and Blackboard are now almost ubiquitous in many K-12 and Higher Education institutions. They represent a suite of technologies, tools, and processes that, when implemented and utilised skillfully, can have a very positive impact on the ability to provide a quality teaching and learning environment. The University of New South Wales (UNSW), School of Mining Engineering in Australia has successfully implemented the open source Moodle as the sole LMS in both undergraduate and postgraduate programs. This paper presents an overview of the existing approach to learning and based on this experience, provides recommendations for the future advanced implementation of Moodle.","School of Mining Engineering The University of New South Wales, Sydney, Australia; School of Mining Engineering The University of New South Wales, Sydney, Australia; School of Mining Engineering The University of New South Wales, Sydney, Australia; School of Mining Engineering The University of New South Wales, Sydney, Australia",S. Saydam; W. Timms; S. Raval; C. Daly,10.1109/MITE.2013.6756373,978-1-4799-1626-9,,"2013 IEEE International Conference in MOOC, Innovation and Technology in Education (MITE)",2013,True,True,False,True,"Learning Management Systems (LMS) including Moodle and Blackboard are now almost ubiquitous in many K-12 and Higher Education institutions. They represent a suite of technologies, tools, and processes that, when implemented and utilised skillfully, can have a very positive impact on the ability to provide a quality teaching and learning environment. The University of New South Wales (UNSW), School of Mining Engineering in Australia has successfully implemented the open source Moodle as the sole LMS in both undergraduate and postgraduate programs. This paper presents an overview of the existing approach to learning and based on this experience, provides recommendations for the future advanced implementation of Moodle.",False
Ontology of moodle e-learning system for social network analysis,"The analysis using Social Network Analysis (SNA) is focusing more on the number or the frequency of social interactions based on adjacency matrix. This method cannot be used to observe the semantic relationship among e-Learning components. Therefore, this paper aims to propose a new paradigm of Social Network Analysis (SNA) using ontology structure of Moodle e-Learning. By considering the relationship of ontology, we can understand the meaning of semantic relationship more deeply. The ontology of Moodle e-learning system for social network analysis will become great advantage to make measurement not only based on the matrix or number of interactions but also based on the semantic meaning of the relationships among users.","Department of Software Engineering, Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Software Engineering, Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Information Systems, Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia",N. Yusof; A. B. F. Mansur; M. S. Othman,10.1109/ICOS.2011.6079258,978-1-61284-931-7,,2011 IEEE Conference on Open Systems,2011,True,False,True,True,"The analysis using Social Network Analysis (SNA) is focusing more on the number or the frequency of social interactions based on adjacency matrix. This method cannot be used to observe the semantic relationship among e-Learning components. Therefore, this paper aims to propose a new paradigm of Social Network Analysis (SNA) using ontology structure of Moodle e-Learning. By considering the relationship of ontology, we can understand the meaning of semantic relationship more deeply. The ontology of Moodle e-learning system for social network analysis will become great advantage to make measurement not only based on the matrix or number of interactions but also based on the semantic meaning of the relationships among users.",False
An investigation of the factors affecting the perception of gamification and game elements,"While various studies have investigated the effects of gamification on learning, less concern is paid to investigate the effects of learners' differences on perception of gamification. Therefore, this study investigates the effects of age, gender and gaming frequency differences on the learners' perception of gamification and game elements. In this context, a gamified online Moodle Learning Management System (LMS) was developed where eighty three learners, from a public university in Tunisia, used it to learn ""Object Oriented Design Methodology"" and ""Basic software"" courses. The findings showed that gender and gaming frequency do not affect the perception of gamification but they do affect the perception of using game elements. These findings can be exploited by researchers, educators and practitioners to provide personalized and gamified learning experiences.","Research Laboratory of Technologies of Information and Communication and Electrical Engineering (LaTICE), Tunis national higher school of engineering (ENSIT), Tunisia; Research Laboratory of Technologies of Information and Communication and Electrical Engineering (LaTICE), Tunis national higher school of engineering (ENSIT), Tunisia; Research Laboratory of Technologies of Information and Communication and Electrical Engineering (LaTICE), Tunis national higher school of engineering (ENSIT), Tunisia; Research Laboratory of Technologies of Information and Communication and Electrical Engineering (LaTICE), Tunis national higher school of engineering (ENSIT), Tunisia",M. Denden; A. Tlili; F. Essalmi; M. Jemni,10.1109/ICTA.2017.8336019,978-1-5386-4460-7,2379-4402,2017 6th International Conference on Information and Communication Technology and Accessibility (ICTA),2017,True,True,True,True,"While various studies have investigated the effects of gamification on learning, less concern is paid to investigate the effects of learners' differences on perception of gamification. Therefore, this study investigates the effects of age, gender and gaming frequency differences on the learners' perception of gamification and game elements. In this context, a gamified online Moodle Learning Management System (LMS) was developed where eighty three learners, from a public university in Tunisia, used it to learn ""Object Oriented Design Methodology"" and ""Basic software"" courses. The findings showed that gender and gaming frequency do not affect the perception of gamification but they do affect the perception of using game elements. These findings can be exploited by researchers, educators and practitioners to provide personalized and gamified learning experiences.",False
Supporting Cognitive Competence Development in Virtual Classrooms - Personal Learning Management and Evaluation Using Pedagogical Agents,Self-directed learning with learning management systems can be intelligently supported and enriched using available log data in combination with detailed competence ontologies. The approach described here implements a mechanism to adaptively generate quizzes for self-assessment in a Moodle environment. The underlying agent architecture uses a tuple space in the role of a blackboard. The approach has been worked out with a distance course on Genetics.,"Collide Research Group, University of Duisburg-Essen, Duisburg, Germany; Collide Research Group, University of Duisburg-Essen, Duisburg, Germany; SIUNAD Bogotá, Universidad Nacional Abierta y a Distancia, Colombia; SIUNAD Bogotá, Universidad Nacional Abierta y a Distancia, Colombia; SIUNAD Bogotá, Universidad Nacional Abierta y a Distancia, Colombia; SIUNAD Bogotá, Universidad Nacional Abierta y a Distancia, Colombia",S. Weinbrenner; H. U. Hoppe; L. Leal; M. Montenegro; W. Vargas; L. Maldonado,10.1109/ICALT.2010.163,978-1-4244-7145-4,2161-377X,2010 10th IEEE International Conference on Advanced Learning Technologies,2010,True,True,False,True,Self-directed learning with learning management systems can be intelligently supported and enriched using available log data in combination with detailed competence ontologies. The approach described here implements a mechanism to adaptively generate quizzes for self-assessment in a Moodle environment. The underlying agent architecture uses a tuple space in the role of a blackboard. The approach has been worked out with a distance course on Genetics.,False
